NAME,year,ranking,Ratings,newRating
C,2020,1,15.95,23.38
Java,2020,2,13.48,19.76
Python,2020,3,10.47,15.35
C++,2020,4,7.11,10.42
C#,2020,5,4.58,6.71
JavaScript,2020,7,2.54,3.72
PHP,2020,8,2.49,3.65
R,2020,9,2.37,3.47
Go,2020,11,1.46,2.14
Swift,2020,12,1.38,2.02
Perl,2020,13,1.3,1.91
Assembly,2020,14,1.3,1.91
Ruby,2020,15,1.24,1.82
Rust,2020,18,0.92,1.35
Objective-C,2020,19,0.85,1.25
Dart,2020,20,0.77,1.13
C,2021,1,11.83,19.86
Python,2021,2,11.67,19.59
Java,2021,3,11.12,18.66
C++,2021,4,7.13,11.97
C#,2021,5,5.78,9.7
JavaScript,2021,7,2.55,4.28
Assembly,2021,8,2.42,4.06
PHP,2021,9,1.85,3.11
Ruby,2021,13,1.27,2.13
Go,2021,14,1.13,1.9
Swift,2021,15,1.07,1.8
R,2021,18,0.98,1.64
Perl,2021,19,0.78,1.31
Python,2022,1,15.74,22.81
C,2022,2,13.96,20.23
Java,2022,3,11.72,16.98
C++,2022,4,9.76,14.14
C#,2022,5,4.88,7.07
JavaScript,2022,7,2.82,4.09
Assembly,2022,8,2.49,3.61
PHP,2022,10,1.68,2.43
Objective-C,2022,11,1.49,2.16
Go,2022,12,1.16,1.68
Swift,2022,16,0.98,1.42
R,2022,18,0.95,1.38
Perl,2022,19,0.72,1.04
Ruby,2022,20,0.66,0.96
Python,2023,1,14.16,21.7
C,2023,2,11.27,17.27
C++,2023,3,10.65,16.32
Java,2023,4,9.49,14.55
C#,2023,5,7.31,11.2
JavaScript,2023,6,3.3,5.06
PHP,2023,8,1.55,2.38
Assembly Language,2023,9,1.53,2.35
Go,2023,12,1.19,1.82
Swift,2023,16,1,1.53
Rust,2023,17,0.97,1.49
R,2023,18,0.97,1.49
Ruby,2023,19,0.95,1.46
Kotlin,2023,20,0.9,1.38
