NAME,count,newRating,year,newRanking
JavaScript,38822,22.93,2020,1
Python,25287,14.94,2020,2
C,20394,12.05,2020,3
C#,18041,10.66,2020,4
PHP,15007,8.86,2020,5
C++,13707,8.1,2020,6
Java,6927,4.09,2020,7
Go,5038,2.98,2020,8
Kotlin,4468,2.64,2020,9
Ruby,4046,2.39,2020,10
Assembly,3553,2.1,2020,11
Swift,3397,2.01,2020,12
Rust,2929,1.73,2020,13
Objective-C,2340,1.38,2020,14
Dart,2280,1.35,2020,15
Perl,1796,1.06,2020,16
R,1261,0.74,2020,17
JavaScript,53587,22.58,2021,1
Python,39792,16.77,2021,2
C,28080,11.83,2021,3
C#,22984,9.68,2021,4
C++,20057,8.45,2021,5
PHP,18130,7.64,2021,6
Java,8784,3.7,2021,7
Go,7879,3.32,2021,8
Kotlin,6866,2.89,2021,9
Rust,5799,2.44,2021,10
Ruby,5569,2.35,2021,11
Dart,4965,2.09,2021,12
Assembly,4632,1.95,2021,13
Swift,4204,1.77,2021,14
Objective-C,2310,0.97,2021,15
Perl,2028,0.85,2021,16
R,1664,0.7,2021,17
JavaScript,46443,22.7,2022,1
Python,34155,16.69,2022,2
C,24211,11.83,2022,3
C#,19883,9.72,2022,4
C++,16024,7.83,2022,5
PHP,14827,7.25,2022,6
Go,7922,3.87,2022,7
Java,7110,3.48,2022,8
Rust,6625,3.24,2022,9
Kotlin,6507,3.18,2022,10
Dart,4648,2.27,2022,11
Ruby,4299,2.1,2022,12
Assembly,3887,1.9,2022,13
Swift,3489,1.71,2022,14
Objective-C,1698,0.83,2022,15
Perl,1644,0.8,2022,16
R,1216,0.59,2022,17
JavaScript,55707,22.13,2023,1
Python,43152,17.14,2023,2
C,28858,11.47,2023,3
C#,24192,9.61,2023,4
C++,19632,7.8,2023,5
PHP,16273,6.47,2023,6
Go,11591,4.61,2023,7
Rust,11427,4.54,2023,8
Kotlin,7934,3.15,2023,9
Java,7927,3.15,2023,10
Ruby,5453,2.17,2023,11
Dart,5273,2.09,2023,12
Assembly,4753,1.89,2023,13
Swift,4071,1.62,2023,14
Perl,2151,0.85,2023,15
Objective-C,2018,0.8,2023,16
R,1289,0.51,2023,17
